      Lon      Lat    Year   Stand   Patch     Veg    Repr    Soil    Fire     Est       NEE
   -71.25   -32.75    1976     160       3  -0.290   0.029   0.252   0.020   0.000   0.01067
   -71.25   -32.75    1976     160       4  -0.300   0.030   0.228   0.020   0.000  -0.02298
   -71.25   -32.75    1977       0       0  -0.323   0.032   0.230   0.009   0.000  -0.05088
   -71.25   -32.75    1977       0       1  -0.326   0.033   0.398   0.027   0.000   0.13199
   -71.25   -32.75    1977       0       2  -0.452   0.045   0.245   0.010   0.000  -0.15213
   -71.25   -32.75    1977       0       3  -0.340   0.034   0.245   0.000   0.000  -0.06134
   -71.25   -32.75    1977       0       4  -0.272   0.027   0.184   0.000   0.000  -0.06008
   -71.25   -32.75    1977     110       0  -0.341   0.034   0.277   0.005   0.000  -0.02617
   -71.25   -32.75    1977     110       1  -0.375   0.038   0.276   0.007   0.000  -0.05425
   -71.25   -32.75    1977     110       2  -0.568   0.057   0.289   0.013   0.000  -0.20925
   -71.25   -32.75    1977     110       3  -0.429   0.043   0.475   0.009   0.000   0.09891
   -71.25   -32.75    1977     110       4  -0.357   0.036   0.247   0.004   0.000  -0.06997
   -71.25   -32.75    1977     131       0  -0.439   0.044   0.307   0.014   0.000  -0.07429
   -71.25   -32.75    1977     131       1  -0.434   0.043   0.368   0.024   0.000   0.00182
   -71.25   -32.75    1977     131       2  -0.391   0.039   0.243   0.004   0.000  -0.10474
   -71.25   -32.75    1977     131       3  -0.360   0.036   0.252   0.000   0.000  -0.07202
   -71.25   -32.75    1977     131       4  -0.497   0.050   0.389   0.460   0.000   0.40177
   -71.25   -32.75    1977     132       0  -0.416   0.042   0.268   0.009   0.000  -0.09711
   -71.25   -32.75    1977     132       1  -0.209   0.021   0.170   0.004   0.000  -0.01516
   -71.25   -32.75    1977     132       2  -0.610   0.061   0.251   0.012   0.000  -0.28580
   -71.25   -32.75    1977     132       3  -0.287   0.029   0.205   0.008   0.000  -0.04559
   -71.25   -32.75    1977     132       4  -0.615   0.062   0.275   0.016   0.000  -0.26334
   -71.25   -32.75    1977     133       0  -0.445   0.044   0.245   0.007   0.000  -0.14764
   -71.25   -32.75    1977     133       1  -0.357   0.036   0.247   0.015   0.000  -0.05905
   -71.25   -32.75    1977     133       2  -0.175   0.017   0.272   0.002   0.000   0.11644
   -71.25   -32.75    1977     133       3  -0.421   0.042   0.319   0.011   0.000  -0.04793
   -71.25   -32.75    1977     133       4  -0.477   0.048   0.377   0.015   0.000  -0.03719
