      Lon      Lat    Year   Stand   Patch     dep     fix    fert    flux   leach     NEE
   -71.25   -32.75    1955       0       4   -0.49   -0.75   -0.00    1.41    0.64    0.81
   -71.25   -32.75    1955     110       0   -0.49   -3.72   -0.00   34.75    0.00   30.54
   -71.25   -32.75    1955     110       1   -0.49   -0.09   -0.00    0.57    0.37    0.36
   -71.25   -32.75    1955     110       2   -0.49   -0.11   -0.00    0.61    0.34    0.35
   -71.25   -32.75    1955     110       3   -0.49   -0.31   -0.00    0.68    0.39    0.27
   -71.25   -32.75    1955     110       4   -0.49   -0.56   -0.00    2.10    0.93    1.98
   -71.25   -32.75    1955     131       0   -0.49   -0.93   -0.00    4.64    0.02    3.23
   -71.25   -32.75    1955     131       1   -0.49   -0.19   -0.00    0.50    0.43    0.25
   -71.25   -32.75    1955     131       2   -0.49   -0.20   -0.00    0.58    0.03   -0.08
   -71.25   -32.75    1955     131       3   -0.49   -0.78   -0.00    4.13    0.03    2.89
   -71.25   -32.75    1955     131       4   -0.49   -0.37   -0.00    2.18    0.02    1.34
   -71.25   -32.75    1955     132       0   -0.49   -0.29   -0.00    1.92    0.26    1.41
   -71.25   -32.75    1955     132       1   -0.49   -0.32   -0.00    0.46    0.51    0.16
   -71.25   -32.75    1955     132       2   -0.49   -0.24   -0.00    0.40    0.33    0.00
   -71.25   -32.75    1955     132       3   -0.49   -0.29   -0.00    0.53    0.51    0.26
   -71.25   -32.75    1955     132       4   -0.49   -0.30   -0.00    0.42    0.41    0.04
   -71.25   -32.75    1955     133       0   -0.49   -0.26   -0.00    1.84    0.02    1.11
   -71.25   -32.75    1955     133       1   -0.49   -0.29   -0.00    6.55    0.04    5.81
   -71.25   -32.75    1955     133       2   -0.49   -1.29   -0.00    5.48    0.48    4.18
   -71.25   -32.75    1955     133       3   -0.49   -0.81   -0.00    3.69    0.02    2.41
   -71.25   -32.75    1955     133       4   -0.49   -0.17   -0.00    0.51    0.41    0.26
   -71.25   -32.75    1955     134       0   -0.49   -0.27   -0.00    0.69    0.23    0.16
   -71.25   -32.75    1955     134       1   -0.49   -0.61   -0.00   12.21    1.37   12.48
   -71.25   -32.75    1955     134       2   -0.49   -1.00   -0.00    6.94    0.03    5.47
   -71.25   -32.75    1955     134       3   -0.49   -0.26   -0.00    0.57    0.24    0.06
   -71.25   -32.75    1955     134       4   -0.49   -0.24   -0.00    0.53    0.82    0.62
   -71.25   -32.75    1955     140       0   -0.49   -1.20   -0.00    7.05    0.13    5.48
   -71.25   -32.75    1955     140       1   -0.49   -0.77   -0.00    5.48    0.28    4.50
   -71.25   -32.75    1955     140       2   -0.49   -0.33   -0.00    0.34    0.58    0.10
   -71.25   -32.75    1955     140       3   -0.49   -0.11   -0.00    0.49    0.45    0.34
   -71.25   -32.75    1955     140       4   -0.49   -0.22   -0.00    0.58    0.10   -0.04
   -71.25   -32.75    1955     160       0   -0.49   -0.33   -0.00    0.46    0.76    0.40
   -71.25   -32.75    1955     160       1   -0.49   -0.99   -0.00    6.47    0.18    5.16
   -71.25   -32.75    1955     160       2   -0.49   -1.01   -0.00    6.23    0.17    4.90
   -71.25   -32.75    1955     160       3   -0.49   -1.23   -0.00    7.43    1.31    7.02
   -71.25   -32.75    1955     160       4   -0.49   -0.31   -0.00    0.28    0.56    0.04
   -71.25   -32.75    1956       0       0   -0.49   -1.15   -0.00    2.22    0.57    1.15
   -71.25   -32.75    1956       0       1   -0.49   -1.58   -0.00    3.85    0.34    2.11
   -71.25   -32.75    1956       0       2   -0.49   -1.33   -0.00    4.77    0.14    3.09
   -71.25   -32.75    1956       0       3   -0.49   -1.58   -0.00   14.78    0.31   13.02
   -71.25   -32.75    1956       0       4   -0.49   -1.31   -0.00    2.57    0.40    1.18
   -71.25   -32.75    1956     110       0   -0.49   -2.54   -0.00    2.56    0.15   -0.32
   -71.25   -32.75    1956     110       1   -0.49   -0.36   -0.00    0.54    0.67    0.35
   -71.25   -32.75    1956     110       2   -0.49   -0.15   -0.00    0.57    0.73    0.66
   -71.25   -32.75    1956     110       3   -0.49   -0.81   -0.00    1.75    0.33    0.79
   -71.25   -32.75    1956     110       4   -0.49   -1.04   -0.00   11.52    0.45   10.44
   -71.25   -32.75    1956     131       0   -0.49   -1.76   -0.00    4.57    0.04    2.36
   -71.25   -32.75    1956     131       1   -0.49   -0.32   -0.00    0.75    0.55    0.50
   -71.25   -32.75    1956     131       2   -0.49   -0.40   -0.00    0.96    0.53    0.60
   -71.25   -32.75    1956     131       3   -0.49   -1.42   -0.00   15.18    0.06   13.33
   -71.25   -32.75    1956     131       4   -0.49   -1.25   -0.00    3.25    0.04    1.56
   -71.25   -32.75    1956     132       0   -0.49   -1.00   -0.00    9.27    0.33    8.11
   -71.25   -32.75    1956     132       1   -0.49   -0.39   -0.00    0.48    0.50    0.09
   -71.25   -32.75    1956     132       2   -0.49   -0.43   -0.00    4.96    0.53    4.56
   -71.25   -32.75    1956     132       3   -0.49   -0.42   -0.00    0.54    0.56    0.20
   -71.25   -32.75    1956     132       4   -0.49   -0.46   -0.00    0.95    0.44    0.44
