      Lon      Lat    Year   Stand   Patch     dep     fix    fert   input    min    imm netmin  Total
   -71.25   -32.75    1956     110       2    0.49    0.15    0.00    0.64  83.98  38.50  45.48  46.12
   -71.25   -32.75    1956     110       3    0.49    0.81    0.00    1.30  65.83  40.07  25.75  27.05
   -71.25   -32.75    1956     110       4    0.49    1.04    0.00    1.53 147.78  93.49  54.29  55.82
   -71.25   -32.75    1956     131       0    0.49    1.76    0.00    2.25 121.47  94.36  27.12  29.37
   -71.25   -32.75    1956     131       1    0.49    0.32    0.00    0.81  66.98  32.77  34.21  35.02
   -71.25   -32.75    1956     131       2    0.49    0.40    0.00    0.89  76.55  35.84  40.71  41.60
   -71.25   -32.75    1956     131       3    0.49    1.42    0.00    1.91 141.77 105.21  36.56  38.46
   -71.25   -32.75    1956     131       4    0.49    1.25    0.00    1.74  88.86  61.74  27.12  28.86
   -71.25   -32.75    1956     132       0    0.49    1.00    0.00    1.49  83.11  55.06  28.05  29.54
   -71.25   -32.75    1956     132       1    0.49    0.39    0.00    0.89  63.11  31.57  31.54  32.42
   -71.25   -32.75    1956     132       2    0.49    0.43    0.00    0.93  56.15  28.79  27.36  28.28
   -71.25   -32.75    1956     132       3    0.49    0.42    0.00    0.91  69.84  36.49  33.35  34.26
   -71.25   -32.75    1956     132       4    0.49    0.46    0.00    0.95  59.31  32.89  26.42  27.37
   -71.25   -32.75    1956     133       0    0.49    0.90    0.00    1.39  89.57  57.16  32.41  33.80
   -71.25   -32.75    1956     133       1    0.49    0.42    0.00    0.91 143.22 131.88  11.34  12.25
   -71.25   -32.75    1956     133       2    0.49    1.72    0.00    2.21 137.12 116.52  20.60  22.82
   -71.25   -32.75    1956     133       3    0.49    1.66    0.00    2.15 115.15  89.55  25.59  27.74
   -71.25   -32.75    1956     133       4    0.49    0.54    0.00    1.03  68.43  33.10  35.34  36.37
   -71.25   -32.75    1956     134       0    0.49    0.61    0.00    1.10  75.38  40.38  35.01  36.10
   -71.25   -32.75    1956     134       1    0.49    0.66    0.00    1.15 243.50 184.57  58.93  60.08
   -71.25   -32.75    1956     134       2    0.49    1.72    0.00    2.21 134.22 109.12  25.10  27.32
   -71.25   -32.75    1956     134       3    0.49    0.50    0.00    0.99  69.96  34.90  35.07  36.06
   -71.25   -32.75    1956     134       4    0.49    0.38    0.00    0.87  72.76  35.77  36.98  37.85
   -71.25   -32.75    1956     140       0    0.49    1.40    0.00    1.89 155.14 128.45  26.69  28.58
   -71.25   -32.75    1956     140       1    0.49    1.46    0.00    1.95 162.34 113.59  48.74  50.69
   -71.25   -32.75    1956     140       2    0.49    0.50    0.00    0.99  51.83  28.06  23.77  24.77
   -71.25   -32.75    1956     140       3    0.49    0.35    0.00    0.84  67.23  33.30  33.92  34.77
